 v-sweep        v(v_out)       v(d5k)         v(u6a_out)     v(u6b_out)     v(fb)          v(u6a_ideal)   v(u6b_ref)    
 2.9200000e+00  2.9200000e+00  2.9091450e+00  2.9199999e+00  2.9111782e+00  1.0855015e+00  2.9200000e+00  2.9111782e+00 
 2.9300000e+00  2.9300000e+00  2.9191078e+00  2.9299999e+00  2.9211480e+00  1.0892189e+00  2.9300000e+00  2.9211480e+00 
 2.9400000e+00  2.9400000e+00  2.9290706e+00  2.9399999e+00  2.9311178e+00  1.0929364e+00  2.9400000e+00  2.9311178e+00 
 2.9500000e+00  2.9500000e+00  2.9390335e+00  2.9499999e+00  2.9410876e+00  1.0966539e+00  2.9500000e+00  2.9410876e+00 
 2.9600000e+00  2.9600000e+00  2.9489963e+00  2.9599999e+00  2.9510574e+00  1.1003713e+00  2.9600000e+00  2.9510574e+00 
 2.9700000e+00  2.9700000e+00  2.9589591e+00  2.9699999e+00  2.9610272e+00  1.1040888e+00  2.9700000e+00  2.9610272e+00 
 2.9800000e+00  2.9800000e+00  2.9689219e+00  2.9799999e+00  2.9709970e+00  1.1078063e+00  2.9800000e+00  2.9709970e+00 
 2.9900000e+00  2.9900000e+00  2.9788848e+00  2.9899999e+00  2.9809668e+00  1.1115238e+00  2.9900000e+00  2.9809668e+00 
 3.0000000e+00  3.0000000e+00  2.9888476e+00  2.9999999e+00  2.9909365e+00  1.1152412e+00  3.0000000e+00  2.9909366e+00 
 3.0100000e+00  3.0100000e+00  2.9988104e+00  3.0099999e+00  3.0009063e+00  1.1189587e+00  3.0100000e+00  3.0009063e+00 
 3.0200000e+00  3.0200000e+00  3.0087732e+00  3.0199999e+00  3.0108761e+00  1.1226762e+00  3.0200000e+00  3.0108761e+00 
 3.0300000e+00  3.0300000e+00  3.0187361e+00  3.0299999e+00  3.0208459e+00  1.1263936e+00  3.0300000e+00  3.0208459e+00 
 3.0400000e+00  3.0400000e+00  3.0286989e+00  3.0399999e+00  3.0308157e+00  1.1301111e+00  3.0400000e+00  3.0308157e+00 
 3.0500000e+00  3.0500000e+00  3.0386617e+00  3.0499999e+00  3.0407855e+00  1.1338286e+00  3.0500000e+00  3.0407855e+00 
 3.0600000e+00  3.0600000e+00  3.0486246e+00  3.0599999e+00  3.0507553e+00  1.1375460e+00  3.0600000e+00  3.0507553e+00 
 3.0700000e+00  3.0700000e+00  3.0585874e+00  3.0699999e+00  3.0607251e+00  1.1412635e+00  3.0700000e+00  3.0607251e+00 
 3.0800000e+00  3.0800000e+00  3.0685502e+00  3.0799999e+00  3.0706949e+00  1.1449810e+00  3.0800000e+00  3.0706949e+00 
 3.0900000e+00  3.0900000e+00  3.0785130e+00  3.0899999e+00  3.0806646e+00  1.1486985e+00  3.0900000e+00  3.0806647e+00 
 3.1000000e+00  3.1000000e+00  3.0884759e+00  3.0999999e+00  3.0906344e+00  1.1524159e+00  3.1000000e+00  3.0906344e+00 
 3.1100000e+00  3.1100000e+00  3.0984387e+00  3.1099999e+00  3.1006042e+00  1.1561334e+00  3.1100000e+00  3.1006042e+00 
 3.1200000e+00  3.1200000e+00  3.1084015e+00  3.1199999e+00  3.1105740e+00  1.1598509e+00  3.1200000e+00  3.1105740e+00 
 3.1300000e+00  3.1300000e+00  3.1183643e+00  3.1299999e+00  3.1205438e+00  1.1635683e+00  3.1300000e+00  3.1205438e+00 
 3.1400000e+00  3.1400000e+00  3.1283272e+00  3.1399999e+00  3.1305136e+00  1.1672858e+00  3.1400000e+00  3.1305136e+00 
 3.1500000e+00  3.1500000e+00  3.1382900e+00  3.1499999e+00  3.1404834e+00  1.1710033e+00  3.1500000e+00  3.1404834e+00 
 3.1600000e+00  3.1600000e+00  3.1482528e+00  3.1599999e+00  3.1504532e+00  1.1747208e+00  3.1600000e+00  3.1504532e+00 
 3.1700000e+00  3.1700000e+00  3.1582156e+00  3.1699999e+00  3.1604229e+00  1.1784382e+00  3.1700000e+00  3.1604230e+00 
 3.1800000e+00  3.1800000e+00  3.1681785e+00  3.1799999e+00  3.1703927e+00  1.1821557e+00  3.1800000e+00  3.1703927e+00 
 3.1900000e+00  3.1900000e+00  3.1781413e+00  3.1899999e+00  3.1803625e+00  1.1858732e+00  3.1900000e+00  3.1803625e+00 
 3.2000000e+00  3.2000000e+00  3.1881041e+00  3.1999999e+00  3.1903323e+00  1.1895906e+00  3.2000000e+00  3.1903323e+00 
 3.2100000e+00  3.2100000e+00  3.1980669e+00  3.2099999e+00  3.2003021e+00  1.1933081e+00  3.2100000e+00  3.2003021e+00 
 3.2200000e+00  3.2200000e+00  3.2080298e+00  3.2199999e+00  3.2102719e+00  1.1970256e+00  3.2200000e+00  3.2102719e+00 
 3.2300000e+00  3.2300000e+00  3.2179926e+00  3.2299999e+00  3.2202417e+00  1.2007431e+00  3.2300000e+00  3.2202417e+00 
