 v-sweep        v(v_out)       v(d5k)         v(u6a_out)     v(u6b_out)     v(fb)          v(u6a_ideal)   v(u6b_ref)    
 4.3400000e+00  4.3400000e+00  4.3238662e+00  4.3399999e+00  4.3268882e+00  1.6133823e+00  4.3400000e+00  4.3268882e+00 
 4.3500000e+00  4.3500000e+00  4.3338290e+00  4.3499999e+00  4.3368580e+00  1.6170998e+00  4.3500000e+00  4.3368580e+00 
 4.3600000e+00  4.3600000e+00  4.3437918e+00  4.3599999e+00  4.3468278e+00  1.6208172e+00  4.3600000e+00  4.3468278e+00 
 4.3700000e+00  4.3700000e+00  4.3537547e+00  4.3699999e+00  4.3567976e+00  1.6245347e+00  4.3700000e+00  4.3567976e+00 
 4.3800000e+00  4.3800000e+00  4.3637175e+00  4.3799999e+00  4.3667674e+00  1.6282522e+00  4.3800000e+00  4.3667674e+00 
 4.3900000e+00  4.3900000e+00  4.3736803e+00  4.3899999e+00  4.3767371e+00  1.6319697e+00  4.3900000e+00  4.3767372e+00 
 4.4000000e+00  4.4000000e+00  4.3836431e+00  4.3999999e+00  4.3867069e+00  1.6356871e+00  4.4000000e+00  4.3867069e+00 
 4.4100000e+00  4.4100000e+00  4.3936060e+00  4.4099999e+00  4.3966767e+00  1.6394046e+00  4.4100000e+00  4.3966767e+00 
 4.4200000e+00  4.4200000e+00  4.4035688e+00  4.4199999e+00  4.4066465e+00  1.6431221e+00  4.4200000e+00  4.4066465e+00 
 4.4300000e+00  4.4300000e+00  4.4135316e+00  4.4299999e+00  4.4166163e+00  1.6468395e+00  4.4300000e+00  4.4166163e+00 
 4.4400000e+00  4.4400000e+00  4.4234944e+00  4.4399999e+00  4.4265861e+00  1.6505570e+00  4.4400000e+00  4.4265861e+00 
 4.4500000e+00  4.4500000e+00  4.4334573e+00  4.4499999e+00  4.4365559e+00  1.6542745e+00  4.4500000e+00  4.4365559e+00 
 4.4600000e+00  4.4600000e+00  4.4434201e+00  4.4599999e+00  4.4465257e+00  1.6579920e+00  4.4600000e+00  4.4465257e+00 
 4.4700000e+00  4.4700000e+00  4.4533829e+00  4.4699999e+00  4.4564955e+00  1.6617094e+00  4.4700000e+00  4.4564955e+00 
 4.4800000e+00  4.4800000e+00  4.4633457e+00  4.4799999e+00  4.4664652e+00  1.6654269e+00  4.4800000e+00  4.4664653e+00 
 4.4900000e+00  4.4900000e+00  4.4733086e+00  4.4899999e+00  4.4764350e+00  1.6691444e+00  4.4900000e+00  4.4764350e+00 
 4.5000000e+00  4.5000000e+00  4.4832714e+00  4.4999999e+00  4.4864048e+00  1.6728618e+00  4.5000000e+00  4.4864048e+00 
 4.5100000e+00  4.5100000e+00  4.4932342e+00  4.5099999e+00  4.4963746e+00  1.6765793e+00  4.5100000e+00  4.4963746e+00 
 4.5200000e+00  4.5200000e+00  4.5031971e+00  4.5199999e+00  4.5063444e+00  1.6802968e+00  4.5200000e+00  4.5063444e+00 
 4.5300000e+00  4.5300000e+00  4.5131599e+00  4.5299999e+00  4.5163142e+00  1.6840143e+00  4.5300000e+00  4.5163142e+00 
 4.5400000e+00  4.5400000e+00  4.5231227e+00  4.5399999e+00  4.5262840e+00  1.6877317e+00  4.5400000e+00  4.5262840e+00 
 4.5500000e+00  4.5500000e+00  4.5330855e+00  4.5499999e+00  4.5362538e+00  1.6914492e+00  4.5500000e+00  4.5362538e+00 
 4.5600000e+00  4.5600000e+00  4.5430484e+00  4.5599999e+00  4.5462235e+00  1.6951667e+00  4.5600000e+00  4.5462236e+00 
 4.5700000e+00  4.5700000e+00  4.5530112e+00  4.5699999e+00  4.5561933e+00  1.6988841e+00  4.5700000e+00  4.5561934e+00 
 4.5800000e+00  4.5800000e+00  4.5629740e+00  4.5799999e+00  4.5661631e+00  1.7026016e+00  4.5800000e+00  4.5661631e+00 
 4.5900000e+00  4.5900000e+00  4.5729368e+00  4.5899999e+00  4.5761329e+00  1.7063191e+00  4.5900000e+00  4.5761329e+00 
 4.6000000e+00  4.6000000e+00  4.5828997e+00  4.5999999e+00  4.5861027e+00  1.7100365e+00  4.6000000e+00  4.5861027e+00 
 4.6100000e+00  4.6100000e+00  4.5928625e+00  4.6099999e+00  4.5960725e+00  1.7137540e+00  4.6100000e+00  4.5960725e+00 
 4.6200000e+00  4.6200000e+00  4.6028253e+00  4.6199999e+00  4.6060423e+00  1.7174715e+00  4.6200000e+00  4.6060423e+00 
 4.6300000e+00  4.6300000e+00  4.6127881e+00  4.6299999e+00  4.6160121e+00  1.7211890e+00  4.6300000e+00  4.6160121e+00 
 4.6400000e+00  4.6400000e+00  4.6227510e+00  4.6399999e+00  4.6259819e+00  1.7249064e+00  4.6400000e+00  4.6259819e+00 
 4.6500000e+00  4.6500000e+00  4.6327138e+00  4.6499999e+00  4.6359516e+00  1.7286239e+00  4.6500000e+00  4.6359517e+00 
 4.6600000e+00  4.6600000e+00  4.6426766e+00  4.6599999e+00  4.6459214e+00  1.7323414e+00  4.6600000e+00  4.6459215e+00 
 4.6700000e+00  4.6700000e+00  4.6526394e+00  4.6699999e+00  4.6558912e+00  1.7360588e+00  4.6700000e+00  4.6558912e+00 
 4.6800000e+00  4.6800000e+00  4.6626023e+00  4.6799999e+00  4.6658610e+00  1.7397763e+00  4.6800000e+00  4.6658610e+00 
 4.6900000e+00  4.6900000e+00  4.6725651e+00  4.6899999e+00  4.6758308e+00  1.7434938e+00  4.6900000e+00  4.6758308e+00 
 4.7000000e+00  4.7000000e+00  4.6825279e+00  4.6999999e+00  4.6858006e+00  1.7472113e+00  4.7000000e+00  4.6858006e+00 
 4.7100000e+00  4.7100000e+00  4.6924907e+00  4.7099999e+00  4.6957704e+00  1.7509287e+00  4.7100000e+00  4.6957704e+00 
 4.7200000e+00  4.7200000e+00  4.7024536e+00  4.7199999e+00  4.7057402e+00  1.7546462e+00  4.7200000e+00  4.7057402e+00 
 4.7300000e+00  4.7300000e+00  4.7124164e+00  4.7299999e+00  4.7157100e+00  1.7583637e+00  4.7300000e+00  4.7157100e+00 
 4.7400000e+00  4.7400000e+00  4.7223792e+00  4.7399999e+00  4.7256797e+00  1.7620811e+00  4.7400000e+00  4.7256798e+00 
 4.7500000e+00  4.7500000e+00  4.7323420e+00  4.7499999e+00  4.7356495e+00  1.7657986e+00  4.7500000e+00  4.7356495e+00 
 4.7600000e+00  4.7600000e+00  4.7423049e+00  4.7599999e+00  4.7456193e+00  1.7695161e+00  4.7600000e+00  4.7456193e+00 
 4.7700000e+00  4.7700000e+00  4.7522677e+00  4.7699999e+00  4.7555891e+00  1.7732335e+00  4.7700000e+00  4.7555891e+00 
 4.7800000e+00  4.7800000e+00  4.7622305e+00  4.7799999e+00  4.7655589e+00  1.7769510e+00  4.7800000e+00  4.7655589e+00 
 4.7900000e+00  4.7900000e+00  4.7721933e+00  4.7899999e+00  4.7755287e+00  1.7806685e+00  4.7900000e+00  4.7755287e+00 
 4.8000000e+00  4.8000000e+00  4.7821562e+00  4.7999999e+00  4.7854985e+00  1.7843860e+00  4.8000000e+00  4.7854985e+00 
 4.8100000e+00  4.8100000e+00  4.7921190e+00  4.8099999e+00  4.7954683e+00  1.7881034e+00  4.8100000e+00  4.7954683e+00 
 4.8200000e+00  4.8200000e+00  4.8020818e+00  4.8199999e+00  4.8054380e+00  1.7918209e+00  4.8200000e+00  4.8054381e+00 
 4.8300000e+00  4.8300000e+00  4.8120446e+00  4.8299999e+00  4.8154078e+00  1.7955384e+00  4.8300000e+00  4.8154079e+00 
 4.8400000e+00  4.8400000e+00  4.8220075e+00  4.8399999e+00  4.8253776e+00  1.7992558e+00  4.8400000e+00  4.8253776e+00 
 4.8500000e+00  4.8500000e+00  4.8319703e+00  4.8499999e+00  4.8353474e+00  1.8029733e+00  4.8500000e+00  4.8353474e+00 
 4.8600000e+00  4.8600000e+00  4.8419331e+00  4.8599999e+00  4.8453172e+00  1.8066908e+00  4.8600000e+00  4.8453172e+00 
 4.8700000e+00  4.8700000e+00  4.8518959e+00  4.8699999e+00  4.8552870e+00  1.8104083e+00  4.8700000e+00  4.8552870e+00 
 4.8800000e+00  4.8800000e+00  4.8618588e+00  4.8799999e+00  4.8652568e+00  1.8141257e+00  4.8800000e+00  4.8652568e+00 
 4.8900000e+00  4.8900000e+00  4.8718216e+00  4.8899999e+00  4.8752266e+00  1.8178432e+00  4.8900000e+00  4.8752266e+00 
 4.9000000e+00  4.9000000e+00  4.8817844e+00  4.8999999e+00  4.8851964e+00  1.8215607e+00  4.9000000e+00  4.8851964e+00 
 4.9100000e+00  4.9100000e+00  4.8917472e+00  4.9099999e+00  4.8951661e+00  1.8252781e+00  4.9100000e+00  4.8951662e+00 
 4.9200000e+00  4.9200000e+00  4.9017101e+00  4.9199999e+00  4.9051359e+00  1.8289956e+00  4.9200000e+00  4.9051360e+00 
 4.9300000e+00  4.9300000e+00  4.9116729e+00  4.9299999e+00  4.9151057e+00  1.8327131e+00  4.9300000e+00  4.9151057e+00 
 4.9400000e+00  4.9400000e+00  4.9216357e+00  4.9399999e+00  4.9250755e+00  1.8364306e+00  4.9400000e+00  4.9250755e+00 
 4.9500000e+00  4.9500000e+00  4.9315985e+00  4.9499999e+00  4.9350453e+00  1.8401480e+00  4.9500000e+00  4.9350453e+00 
 4.9600000e+00  4.9600000e+00  4.9415614e+00  4.9599999e+00  4.9450151e+00  1.8438655e+00  4.9600000e+00  4.9450151e+00 
 4.9700000e+00  4.9700000e+00  4.9515242e+00  4.9699999e+00  4.9549849e+00  1.8475830e+00  4.9700000e+00  4.9549849e+00 
 4.9800000e+00  4.9800000e+00  4.9614870e+00  4.9799999e+00  4.9649547e+00  1.8513004e+00  4.9800000e+00  4.9649547e+00 
 4.9900000e+00  4.9900000e+00  4.9714498e+00  4.9899999e+00  4.9749245e+00  1.8550179e+00  4.9900000e+00  4.9749245e+00 
 5.0000000e+00  5.0000000e+00  4.9814127e+00  4.9999999e+00  4.9848942e+00  1.8587354e+00  5.0000000e+00  4.9848943e+00 
